rank,name,scores_overall,scores_teaching,scores_research,scores_citations,scores_industry_income,scores_international_outlook,stats_number_students,stats_student_staff_ratio
81,University of Bristol,69.8,48.7,56.5,97.3,72.3,92.5,27,14.8
82,City University of Hong Kong,69.3,52.2,52.4,91.1,100,98.7,9,13.2
83,Korea Advanced Institute of Science and Technology (KAIST),69.2,67.1,65.8,77.4,100,41.6,10,10.7
84,UNSW Sydney,68.9,47.2,57.4,91.1,98.6,94.5,47,36.6
85,University of Minnesota,68.7,61,58.5,87.2,99.8,48.3,60,11.8
86,Purdue University West Lafayette,68.5,64,65.3,71.8,84.3,76.7,43,18.3
87,University of Glasgow,68.2,48.1,51.8,96.8,69.7,96.1,32,14.4
87,Hong Kong Polytechnic University,68.2,45.7,54.1,94.5,87.4,96.3,20,30.6
87,Humboldt University of Berlin,68.2,55.3,63.7,82.8,65.4,79,35,54.5
90,RWTH Aachen University,68,54.9,64.8,78.9,100,71.2,35,43.3
91,University of Bonn,67.8,51.7,57.7,89.7,82.6,73.8,26,44.5
92,University of California. Irvine,67.4,47.1,53.8,93.2,96.1,80.9,36,16.2
92,Vanderbilt University,67.4,54.1,48.5,96,96.5,62.9,13,3.9
94,Charité - Universitätsmedizin Berlin,67.2,47.5,49.1,97.7,100,75.2,9,17.5
95,Lomonosov Moscow State University,67,87.5,75.2,33.9,91.1,73.8,33,9.6
95,University of Tübingen,67,49.1,56.5,89,99.8,72,22,27.1
97,KTH Royal Institute of Technology,66.9,53.5,57.8,81,97.7,82.5,13,15.9
97,University of Southampton,66.9,48.9,50.1,92.7,73.1,96.5,20,13
99,Erasmus University Rotterdam,66.7,38.5,54.1,96.9,94.7,90.6,34,36
99,Ohio State University (Main campus),66.7,55.8,52.7,88.4,85,67.3,56,11.4
101,University of Birmingham,66.6,46.1,49.3,95.5,72.1,95.1,33,15.2
102,Free University of Berlin,66.5,52.1,59.7,82.5,71.6,82.4,25,41.5
103,University of Copenhagen,66.3,49.2,51.1,91.3,89.5,80.1,32,4.3
103,McMaster University,66.3,43.8,51.3,93,100,87.3,28,30.9
105,University of Sheffield,66.2,48,49.5,92.3,77.5,92,28,15.4
106,Emory University,66.1,53.1,45.7,95.5,81.6,69.3,13,4
106,Lund University,66.1,46.7,56.6,86.6,99.8,79.8,30,12
106,University of Warwick,66.1,48.1,52.1,89,70.5,96.4,25,14.4
109,Aarhus University,65.9,44.9,59,86.3,98.7,76.3,27,13.5
109,University of Alberta,65.9,50.1,55.5,80.9,99.9,90.7,34,22.8
111,University of Adelaide,65.8,42.4,50.6,92.8,95,92.9,24,36.4
111,University of Göttingen,65.8,50,54.8,90.1,70.8,70.7,23,27.4
111,University of Montreal,65.8,51.2,54.1,81.7,96.6,87.7,40,20.5
114,University of Maryland. College Park,65.7,49.4,58.1,92.8,70.2,48.6,34,17
115,Ghent University,65.6,47.2,59.3,85.3,99.7,65.7,41,37.6
116,University of Bern,65.4,45.1,47,93.3,99.2,87,12,18.2
116,Michigan State University,65.4,54.8,52.3,86.2,70,71.4,45,16.1
118,Texas A&M University,65.3,55.2,62.1,77.3,76.4,64.1,64,20.5
119,Rice University,65.2,56.4,45.6,86.5,73.9,85.8,7,9.8
119,University of Vienna,65.2,48.7,60.3,77.4,75.9,94.9,31,37.4
121,University of Helsinki,65.1,48.1,57.6,90.6,69.2,56.7,23,15.9
122,Penn State (Main campus),65,53.1,58.7,83.7,70.4,58.4,46,14.2
123,University of Basel,64.9,50.8,42.9,87.7,99.4,95.4,9,10.4
123,University of Massachusetts,64.9,54,46.9,87.3,85.6,77.3,64,13.3
125,Vrije Universiteit Amsterdam,64.7,40.4,51,93.4,91.5,84.3,32,19.2
126,Technical University of Denmark,64.6,50.7,47.4,83.2,99.7,92.2,10,7.7
127,University of Oslo,64.3,45.6,50.6,92.1,72.3,75.6,21,12.5
128,University of Freiburg,64.1,46.7,51.3,86.2,100,74.2,19,34.4
129,University of Leeds,63.9,46.1,49.1,87.3,68.8,94.6,33,14.4
130,University of Nottingham,63.8,45.6,45.9,90.6,71.2,92.8,34,16
130,Tohoku University,63.8,67.8,66.4,53.8,99.9,58.5,17,11.8
132,University of Florida,63.7,55.5,56.7,78.3,88.9,50.9,48,16.7
133,University of Rochester,63.6,50.8,42.9,88.3,89,81.7,10,7.3
134,Trinity College Dublin,63.2,44,48.4,87.6,76.6,91.4,19,22.2
135,Queen Mary University of London,63.1,37.6,42.6,97.9,73.9,98.1,22,14.6
136,University of Hamburg,63,44.7,53.3,84.8,98.6,65.7,29,58.5
136,Technical University of Berlin,63,47.8,55.6,78.1,99.9,71.3,20,49.6
138,University of Colorado Boulder,62.9,46.5,51.9,88.6,82.8,56.6,36,16.5
138,Maastricht University,62.9,41.4,47.1,86.1,98.1,97.4,21,19.6
140,Karlsruhe Institute of Technology,62.8,49.9,56.8,72.5,99.9,77.6,21,20.5
140,Radboud University Nijmegen,62.8,39.1,51,91.3,81.4,77.7,23,18.2
140,Uppsala University,62.8,43.9,55,81.3,97.7,74.7,25,13.3
143,University of Lausanne,62.7,41.7,46.3,87.3,99.5,90.4,14,10.5
143,The University of Western Australia,62.7,37.7,48.6,88.7,97.2,93.5,19,22.4
145,University of Pittsburgh-Pittsburgh campus,62.5,49.1,46.1,92.4,76.1,50.9,26,5.4
145,Sungkyunkwan University (SKKU),62.5,55.5,54.2,72.9,98.8,61.3,23,19.4
147,University of York,62.4,42.4,44.8,90.8,66.9,93.1,20,16.1
148,University of Technology Sydney,62.3,36.2,43.3,95.9,78.9,94.3,28,37.4
149,Pohang University of Science and Technology (POSTECH),62.2,58.1,51.5,77.2,100,40,3,10.5
150,University of Auckland,62,39.7,45.7,88.3,95.8,89.9,36,24.4
150,Sichuan University,62,59.1,57.3,69.3,93.2,46.1,49,15.9
152,University of Barcelona,61.9,42.4,47.3,91.4,83.9,65.2,44,15.3
152,National Taiwan University (NTU),61.9,57.3,54.8,70.8,99.9,51.2,25,11.1
152,Université Paris Cité,61.9,47.9,42.7,90.6,68.3,73.2,62,16.9
155,University of Arizona,61.8,48.7,51.3,85.7,84,47,46,19.9
155,University of Bologna,61.8,53,44.6,86.5,79.4,54.3,74,24.7
155,Lancaster University,61.8,40.2,40.7,93.9,66.6,96.8,15,13.9
158,Huazhong University of Science and Technology,61.7,48.8,48.1,90,96.9,32.9,58,15.5
158,University of Waterloo,61.7,42.2,49.3,83.7,78.3,89.3,37,24.2
160,University of Cologne,61.5,42.9,47.1,85.6,98.8,73.3,31,28.7
161,University of Antwerp,61.4,38.2,44.4,92.5,98.4,74.7,16,31.8
161,Dartmouth College,61.4,57.3,40.7,84.7,68.4,60.2,6,7.4
161,TU Dresden,61.4,46.6,51.1,79.3,99.7,67.9,30,29.4
164,Case Western Reserve University,61.3,51.7,40.2,88.7,71.4,65,10,8.8
164,Wuhan University,61.3,50.9,45,88.5,90.6,41,56,15
